recipe_title,description,preparation_time,category,instruction,calories,protein,carbs,fats,"list of ingredients used (ingredient_name, quantity, unit, calories)"
Sweet Maple Pumpkin Puree (Style #165),"A comforting, warm dessert bowl of smooth pumpkin sweetened elegantly with maple syrup.",7 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Pumpkin (puree), Maple syrup). Step 3: Cook or assemble for 7 minutes. Step 4: Finish with remaining toppings and serve immediately.",253,14g,33g,9g,(Pumpkin (puree); 15; grams; 5 kcal) | (Maple syrup; 30; grams; 78 kcal) | (Heavy cream; 50; grams; 170 kcal)
Savory Breakfast Quinoa (Style #166),"A warm, protein-packed quinoa bowl cooked with savory garlic, spinach, and soft egg.",12 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Quinoa (uncooked), Large egg). Step 3: Cook or assemble for 12 minutes. Step 4: Finish with remaining toppings and serve immediately.",1880,126g,192g,71g,(Quinoa (uncooked); 50; grams; 184 kcal) | (Large egg; 100; grams; 143 kcal) | (Spinach (raw); 15; grams; 3 kcal) | (Garlic; 150; grams; 224 kcal) | (Olive oil; 150; grams; 1326 kcal)
Chicken Avocado Salad (Style #167),Crisp romaine lettuce tossed with tender grilled chicken breast and rich avocado chunks.,9 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Chicken breast (raw), Avocado). Step 3: Cook or assemble for 9 minutes. Step 4: Finish with remaining toppings and serve immediately.",640,32g,78g,18g,(Chicken breast (raw); 30; grams; 36 kcal) | (Avocado; 100; grams; 160 kcal) | (Lettuce (romaine); 150; grams; 150 kcal) | (Olive oil; 30; grams; 265 kcal) | (Lemon; 100; grams; 29 kcal)
Hearty Ground Beef Skillet (Style #168),A comfort-food favorite featuring ground beef cooked down with onions and tomato paste.,25 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Ground beef (80/20, raw), Yellow onion). Step 3: Cook or assemble for 25 minutes. Step 4: Finish with remaining toppings and serve immediately.",1205,79g,148g,33g,"(Ground beef (80/20, raw); 50; grams; 50 kcal) | (Yellow onion; 100; grams; 40 kcal) | (Tomato paste; 100; grams; 82 kcal) | (Garlic; 100; grams; 149 kcal) | (Olive oil; 100; grams; 884 kcal)"
Spiced Roasted Chickpeas (Style #169),"Crunchy, oven-roasted garbanzo beans tossed in a drizzle of healthy olive oil.",29 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Chickpeas/Garbanzo (canned), Olive oil). Step 3: Cook or assemble for 29 minutes. Step 4: Finish with remaining toppings and serve immediately.",1504,71g,154g,48g,(Chickpeas/Garbanzo (canned); 150; grams; 178 kcal) | (Olive oil; 150; grams; 1326 kcal)
Vanilla Berry Shortcake (Style #170),"Sweet, tender home-baked shortcake biscuits layered with berries and heavy cream.",21 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (All-purpose flour, Heavy cream). Step 3: Cook or assemble for 21 minutes. Step 4: Finish with remaining toppings and serve immediately.",1214,69g,122g,28g,(All-purpose flour; 100; grams; 364 kcal) | (Heavy cream; 50; grams; 170 kcal) | (Strawberries; 15; grams; 5 kcal) | (Sugar (granulated); 100; grams; 387 kcal) | (Vanilla extract; 100; grams; 288 kcal)
Sweet Potato Hash (Style #171),"A nutritious, comforting morning skillet filled with cubed sweet potatoes and onions.",17 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Sweet potato, Yellow onion). Step 3: Cook or assemble for 17 minutes. Step 4: Finish with remaining toppings and serve immediately.",498,34g,59g,15g,(Sweet potato; 15; grams; 13 kcal) | (Yellow onion; 30; grams; 12 kcal) | (Olive oil; 50; grams; 442 kcal) | (Bell pepper (red); 100; grams; 31 kcal)
Chicken Rice Bowl (Style #172),Lean grilled chicken breast served over fluffy white rice with a side of steamed broccoli.,21 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Chicken breast (raw), White rice (uncooked)). Step 3: Cook or assemble for 21 minutes. Step 4: Finish with remaining toppings and serve immediately.",1493,86g,181g,53g,(Chicken breast (raw); 30; grams; 36 kcal) | (White rice (uncooked); 15; grams; 54 kcal) | (Broccoli; 150; grams; 51 kcal) | (Soy sauce; 50; grams; 26 kcal) | (Sesame oil; 150; grams; 1326 kcal)
Garlic Butter Salmon (Style #173),Flaky pan-seared salmon fillet basted with a decadent garlic and herb butter sauce.,12 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Salmon fillet (raw), Butter). Step 3: Cook or assemble for 12 minutes. Step 4: Finish with remaining toppings and serve immediately.",1145,82g,141g,38g,(Salmon fillet (raw); 30; grams; 43 kcal) | (Butter; 150; grams; 1076 kcal) | (Garlic; 15; grams; 22 kcal) | (Lemon; 15; grams; 4 kcal)
Yogurt Berry Crunch (Style #174),Smooth Greek yogurt topped with fresh blueberries and crunchy chia seeds.,5 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Greek yogurt (plain, non-fat), Blueberries). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",844,41g,111g,22g,"(Greek yogurt (plain, non-fat); 30; grams; 30 kcal) | (Blueberries; 150; grams; 85 kcal) | (Chia seeds; 150; grams; 729 kcal)"
Dark Chocolate Berry Bark (Style #175),Decadent melted 70% dark chocolate topped with naturally sweet freeze-dried raspberries.,12 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Dark chocolate (70%), Raspberries). Step 3: Cook or assemble for 12 minutes. Step 4: Finish with remaining toppings and serve immediately.",257,10g,32g,8g,(Dark chocolate (70%); 30; grams; 179 kcal) | (Raspberries; 150; grams; 78 kcal)
Berry Oatmeal (Style #176),"A classic, heart-healthy rolled oats breakfast topped with sweet fresh berries.",6 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Rolled oats, Whole milk). Step 3: Cook or assemble for 6 minutes. Step 4: Finish with remaining toppings and serve immediately.",432,17g,54g,13g,(Rolled oats; 15; grams; 57 kcal) | (Whole milk; 50; grams; 30 kcal) | (Blueberries; 15; grams; 9 kcal) | (Strawberries; 100; grams; 32 kcal) | (Honey; 100; grams; 304 kcal)
Quinoa Mediterranean Bowl (Style #177),"A refreshing whole-grain bowl mixed with cucumbers, tomatoes, and zesty feta cheese.",13 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Quinoa (uncooked), Cucumber). Step 3: Cook or assemble for 13 minutes. Step 4: Finish with remaining toppings and serve immediately.",276,12g,29g,10g,(Quinoa (uncooked); 15; grams; 55 kcal) | (Cucumber; 30; grams; 4 kcal) | (Tomato; 30; grams; 5 kcal) | (Feta cheese; 30; grams; 79 kcal) | (Olive oil; 15; grams; 133 kcal)
Ribeye Steak and Potatoes (Style #178),"A premium, juicy ribeye steak seared to perfection and paired with a fluffy baked potato.",28 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Ribeye steak (raw), Russet potato). Step 3: Cook or assemble for 28 minutes. Step 4: Finish with remaining toppings and serve immediately.",490,28g,53g,14g,(Ribeye steak (raw); 50; grams; 146 kcal) | (Russet potato; 15; grams; 12 kcal) | (Butter; 15; grams; 108 kcal) | (Garlic; 150; grams; 224 kcal)
Chia Seed Pudding (Style #179),Nutritious chia seeds soaked overnight in rich coconut milk and sweetened with maple syrup.,14 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Chia seeds, Coconut milk (canned)). Step 3: Cook or assemble for 14 minutes. Step 4: Finish with remaining toppings and serve immediately.",974,41g,103g,35g,(Chia seeds; 100; grams; 486 kcal) | (Coconut milk (canned); 50; grams; 98 kcal) | (Maple syrup; 150; grams; 390 kcal)
Avocado Chocolate Mousse (Style #180),A surprisingly rich and creamy healthy mousse combining ripe avocado with sweet cocoa powder.,12 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Avocado, Cocoa powder). Step 3: Cook or assemble for 12 minutes. Step 4: Finish with remaining toppings and serve immediately.",634,31g,76g,23g,(Avocado; 150; grams; 240 kcal) | (Cocoa powder; 50; grams; 114 kcal) | (Maple syrup; 100; grams; 260 kcal) | (Almond milk (unsweetened); 150; grams; 20 kcal)
Avocado Toast (Style #181),Creamy smashed avocado over toasted whole wheat or simple bread alternatives.,7 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Avocado, All-purpose flour). Step 3: Cook or assemble for 7 minutes. Step 4: Finish with remaining toppings and serve immediately.",755,29g,95g,22g,(Avocado; 150; grams; 240 kcal) | (All-purpose flour; 15; grams; 55 kcal) | (Olive oil; 50; grams; 442 kcal) | (Tomato; 100; grams; 18 kcal)
Chicken Avocado Salad (Style #182),Crisp romaine lettuce tossed with tender grilled chicken breast and rich avocado chunks.,15 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Chicken breast (raw), Avocado). Step 3: Cook or assemble for 15 minutes. Step 4: Finish with remaining toppings and serve immediately.",517,29g,62g,17g,(Chicken breast (raw); 15; grams; 18 kcal) | (Avocado; 50; grams; 80 kcal) | (Lettuce (romaine); 150; grams; 150 kcal) | (Olive oil; 30; grams; 265 kcal) | (Lemon; 15; grams; 4 kcal)
Classic Pork Chop Dinner (Style #183),"Thick, juicy boneless pork chops pan-seared alongside seasoned roasted russet potatoes.",29 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Pork chop (raw, boneless), Russet potato). Step 3: Cook or assemble for 29 minutes. Step 4: Finish with remaining toppings and serve immediately.",309,15g,39g,7g,"(Pork chop (raw, boneless); 15; grams; 15 kcal) | (Russet potato; 15; grams; 12 kcal) | (Olive oil; 15; grams; 133 kcal) | (Garlic; 100; grams; 149 kcal)"
Yogurt Berry Crunch (Style #184),Smooth Greek yogurt topped with fresh blueberries and crunchy chia seeds.,5 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Greek yogurt (plain, non-fat), Blueberries). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",558,24g,64g,15g,"(Greek yogurt (plain, non-fat); 15; grams; 15 kcal) | (Blueberries; 100; grams; 57 kcal) | (Chia seeds; 100; grams; 486 kcal)"
Classic Chocolate Chip Cookies (Style #185),"Warm, chewy homemade cookies packed generously with sweet semi-sweet chocolate chips.",14 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (All-purpose flour, Butter). Step 3: Cook or assemble for 14 minutes. Step 4: Finish with remaining toppings and serve immediately.",1961,116g,198g,63g,(All-purpose flour; 15; grams; 55 kcal) | (Butter; 150; grams; 1076 kcal) | (Sugar (granulated); 30; grams; 116 kcal) | (Brown sugar; 150; grams; 570 kcal) | (Chocolate chips (semi-sweet); 15; grams; 72 kcal) | (Large egg; 50; grams; 72 kcal)
Sweet Potato Hash (Style #186),"A nutritious, comforting morning skillet filled with cubed sweet potatoes and onions.",20 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Sweet potato, Yellow onion). Step 3: Cook or assemble for 20 minutes. Step 4: Finish with remaining toppings and serve immediately.",986,44g,126g,34g,(Sweet potato; 30; grams; 26 kcal) | (Yellow onion; 150; grams; 60 kcal) | (Olive oil; 100; grams; 884 kcal) | (Bell pepper (red); 50; grams; 16 kcal)
Spinach and Feta Salad (Style #187),Crisp spinach greens tossed with tangy crumbles of feta cheese and roasted sunflower seeds.,5 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Spinach (raw), Feta cheese). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",1191,45g,128g,35g,(Spinach (raw); 150; grams; 34 kcal) | (Feta cheese; 100; grams; 264 kcal) | (Sunflower seeds (hulled); 100; grams; 584 kcal) | (Olive oil; 30; grams; 265 kcal) | (Balsamic vinegar; 50; grams; 44 kcal)
Beef and Broccoli Stir-Fry (Style #188),Tender strips of lean beef stir-fried with crisp broccoli florets in a savory soy sauce.,24 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Sirloin steak (raw), Broccoli). Step 3: Cook or assemble for 24 minutes. Step 4: Finish with remaining toppings and serve immediately.",459,29g,48g,17g,(Sirloin steak (raw); 150; grams; 213 kcal) | (Broccoli; 50; grams; 17 kcal) | (Soy sauce; 30; grams; 16 kcal) | (Ginger root; 100; grams; 80 kcal) | (Sesame oil; 15; grams; 133 kcal)
Apple with Peanut Butter (Style #189),"Crisp, sweet apple slices paired perfectly with a serving of creamy peanut butter.",6 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Apple (with skin), Peanut butter). Step 3: Cook or assemble for 6 minutes. Step 4: Finish with remaining toppings and serve immediately.",310,13g,42g,12g,(Apple (with skin); 30; grams; 16 kcal) | (Peanut butter; 50; grams; 294 kcal)
Creamy Rice Pudding (Style #190),"Soft white rice simmered patiently in milk, sugar, and rich vanilla extract until thick.",39 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (White rice (uncooked), Whole milk). Step 3: Cook or assemble for 39 minutes. Step 4: Finish with remaining toppings and serve immediately.",795,53g,91g,19g,(White rice (uncooked); 30; grams; 108 kcal) | (Whole milk; 100; grams; 61 kcal) | (Sugar (granulated); 50; grams; 194 kcal) | (Vanilla extract; 150; grams; 432 kcal)
Peanut Butter Banana Oats (Style #191),"Thick, creamy oatmeal swirled with rich peanut butter and sweet sliced banana.",10 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Rolled oats, Whole milk). Step 3: Cook or assemble for 10 minutes. Step 4: Finish with remaining toppings and serve immediately.",515,29g,53g,15g,(Rolled oats; 15; grams; 57 kcal) | (Whole milk; 50; grams; 30 kcal) | (Peanut butter; 50; grams; 294 kcal) | (Banana; 150; grams; 134 kcal)
Turkey Club Salad (Style #192),Lean deli turkey strips served over crunchy iceberg lettuce with bacon and tomatoes.,14 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Turkey breast (raw), Bacon (raw)). Step 3: Cook or assemble for 14 minutes. Step 4: Finish with remaining toppings and serve immediately.",500,26g,51g,12g,(Turkey breast (raw); 50; grams; 57 kcal) | (Bacon (raw); 50; grams; 208 kcal) | (Lettuce (iceberg); 30; grams; 4 kcal) | (Tomato; 150; grams; 27 kcal) | (Mayonnaise; 30; grams; 204 kcal)
Turkey Rice Casserole (Style #193),Savory ground turkey combined with wholesome brown rice and sweet green peas.,25 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Ground turkey, Brown rice (uncooked)). Step 3: Cook or assemble for 25 minutes. Step 4: Finish with remaining toppings and serve immediately.",259,16g,34g,6g,(Ground turkey; 30; grams; 43 kcal) | (Brown rice (uncooked); 15; grams; 54 kcal) | (Green peas; 150; grams; 122 kcal) | (Yellow onion; 100; grams; 40 kcal)
Cottage Cheese with Berries (Style #194),High-protein cottage cheese topped with fresh raspberries and a light honey drizzle.,6 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Cottage cheese, Raspberries). Step 3: Cook or assemble for 6 minutes. Step 4: Finish with remaining toppings and serve immediately.",264,10g,27g,8g,(Cottage cheese; 150; grams; 147 kcal) | (Raspberries; 50; grams; 26 kcal) | (Honey; 30; grams; 91 kcal)
Creamy Rice Pudding (Style #195),"Soft white rice simmered patiently in milk, sugar, and rich vanilla extract until thick.",38 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (White rice (uncooked), Whole milk). Step 3: Cook or assemble for 38 minutes. Step 4: Finish with remaining toppings and serve immediately.",916,65g,95g,30g,(White rice (uncooked); 150; grams; 540 kcal) | (Whole milk; 50; grams; 30 kcal) | (Sugar (granulated); 15; grams; 58 kcal) | (Vanilla extract; 100; grams; 288 kcal)
Fluffy Protein Pancakes (Style #196),"Deliciously light homemade pancakes elevated with milk, egg, and a touch of sweetness.",16 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (All-purpose flour, Whole milk). Step 3: Cook or assemble for 16 minutes. Step 4: Finish with remaining toppings and serve immediately.",1647,112g,222g,59g,(All-purpose flour; 150; grams; 546 kcal) | (Whole milk; 150; grams; 92 kcal) | (Large egg; 150; grams; 214 kcal) | (Sugar (granulated); 150; grams; 580 kcal) | (Butter; 30; grams; 215 kcal)
Turkey Club Salad (Style #197),Lean deli turkey strips served over crunchy iceberg lettuce with bacon and tomatoes.,9 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Turkey breast (raw), Bacon (raw)). Step 3: Cook or assemble for 9 minutes. Step 4: Finish with remaining toppings and serve immediately.",1464,55g,176g,53g,(Turkey breast (raw); 15; grams; 17 kcal) | (Bacon (raw); 100; grams; 417 kcal) | (Lettuce (iceberg); 50; grams; 7 kcal) | (Tomato; 15; grams; 3 kcal) | (Mayonnaise; 150; grams; 1020 kcal)
Garlic Butter Salmon (Style #198),Flaky pan-seared salmon fillet basted with a decadent garlic and herb butter sauce.,14 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Salmon fillet (raw), Butter). Step 3: Cook or assemble for 14 minutes. Step 4: Finish with remaining toppings and serve immediately.",312,13g,34g,9g,(Salmon fillet (raw); 30; grams; 43 kcal) | (Butter; 30; grams; 215 kcal) | (Garlic; 30; grams; 45 kcal) | (Lemon; 30; grams; 9 kcal)
Spiced Roasted Chickpeas (Style #199),"Crunchy, oven-roasted garbanzo beans tossed in a drizzle of healthy olive oil.",26 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Chickpeas/Garbanzo (canned), Olive oil). Step 3: Cook or assemble for 26 minutes. Step 4: Finish with remaining toppings and serve immediately.",478,25g,50g,18g,(Chickpeas/Garbanzo (canned); 30; grams; 36 kcal) | (Olive oil; 50; grams; 442 kcal)
Avocado Chocolate Mousse (Style #200),A surprisingly rich and creamy healthy mousse combining ripe avocado with sweet cocoa powder.,14 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Avocado, Cocoa powder). Step 3: Cook or assemble for 14 minutes. Step 4: Finish with remaining toppings and serve immediately.",467,24g,59g,12g,(Avocado; 50; grams; 80 kcal) | (Cocoa powder; 150; grams; 342 kcal) | (Maple syrup; 15; grams; 39 kcal) | (Almond milk (unsweetened); 50; grams; 6 kcal)
Greek Yogurt Parfait (Style #201),"Thick Greek yogurt layered with raw oats, sweet berries, and a drizzle of organic honey.",6 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Greek yogurt (plain, non-fat), Rolled oats). Step 3: Cook or assemble for 6 minutes. Step 4: Finish with remaining toppings and serve immediately.",638,32g,65g,24g,"(Greek yogurt (plain, non-fat); 100; grams; 100 kcal) | (Rolled oats; 15; grams; 57 kcal) | (Blueberries; 30; grams; 17 kcal) | (Raspberries; 15; grams; 8 kcal) | (Honey; 150; grams; 456 kcal)"
Black Bean and Corn Bowl (Style #202),"A hearty vegetarian fiber bowl featuring black beans, sweet corn, and a bright lime dressing.",10 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Black beans (canned), Corn (kernels)). Step 3: Cook or assemble for 10 minutes. Step 4: Finish with remaining toppings and serve immediately.",271,18g,35g,7g,(Black beans (canned); 30; grams; 27 kcal) | (Corn (kernels); 100; grams; 86 kcal) | (Bell pepper (green); 50; grams; 10 kcal) | (Olive oil; 15; grams; 133 kcal) | (Lime; 50; grams; 15 kcal)
Chicken Alfredo Pasta (Style #203),Tender grilled chicken tossed with fettuccine or egg noodles in a rich heavy cream sauce.,19 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Chicken breast (raw), Egg noodles (dry)). Step 3: Cook or assemble for 19 minutes. Step 4: Finish with remaining toppings and serve immediately.",1755,97g,210g,52g,(Chicken breast (raw); 150; grams; 180 kcal) | (Egg noodles (dry); 30; grams; 114 kcal) | (Heavy cream; 50; grams; 170 kcal) | (Parmesan cheese (grated); 50; grams; 215 kcal) | (Butter; 150; grams; 1076 kcal)
Celery and Peanut Butter (Style #204),"Crispy, refreshing celery stalks filled with rich, savory peanut butter.",5 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Celery, Peanut butter). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",200,13g,21g,6g,(Celery; 150; grams; 24 kcal) | (Peanut butter; 30; grams; 176 kcal)
Classic Chocolate Chip Cookies (Style #205),"Warm, chewy homemade cookies packed generously with sweet semi-sweet chocolate chips.",19 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (All-purpose flour, Butter). Step 3: Cook or assemble for 19 minutes. Step 4: Finish with remaining toppings and serve immediately.",2230,110g,278g,50g,(All-purpose flour; 15; grams; 55 kcal) | (Butter; 100; grams; 717 kcal) | (Sugar (granulated); 50; grams; 194 kcal) | (Brown sugar; 150; grams; 570 kcal) | (Chocolate chips (semi-sweet); 100; grams; 480 kcal) | (Large egg; 150; grams; 214 kcal)
Fluffy Protein Pancakes (Style #206),"Deliciously light homemade pancakes elevated with milk, egg, and a touch of sweetness.",15 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (All-purpose flour, Whole milk). Step 3: Cook or assemble for 15 minutes. Step 4: Finish with remaining toppings and serve immediately.",1161,64g,145g,29g,(All-purpose flour; 50; grams; 182 kcal) | (Whole milk; 100; grams; 61 kcal) | (Large egg; 100; grams; 143 kcal) | (Sugar (granulated); 15; grams; 58 kcal) | (Butter; 100; grams; 717 kcal)
Egg Salad Salad (Style #207),Rich chopped hard-boiled eggs mashed with mayonnaise and served over fresh salad greens.,12 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Large egg, Mayonnaise). Step 3: Cook or assemble for 12 minutes. Step 4: Finish with remaining toppings and serve immediately.",1270,55g,163g,35g,(Large egg; 150; grams; 214 kcal) | (Mayonnaise; 150; grams; 1020 kcal) | (Lettuce (romaine); 30; grams; 30 kcal) | (Yellow onion; 15; grams; 6 kcal)
Classic Pork Chop Dinner (Style #208),"Thick, juicy boneless pork chops pan-seared alongside seasoned roasted russet potatoes.",26 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Pork chop (raw, boneless), Russet potato). Step 3: Cook or assemble for 26 minutes. Step 4: Finish with remaining toppings and serve immediately.",396,26g,42g,12g,"(Pork chop (raw, boneless); 30; grams; 30 kcal) | (Russet potato; 100; grams; 79 kcal) | (Olive oil; 30; grams; 265 kcal) | (Garlic; 15; grams; 22 kcal)"
Mixed Nuts Energy Mix (Style #209),"A crunchy, nutrient-dense handful of whole almonds, walnuts, and toasted cashews.",5 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Almonds, Walnuts). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",760,46g,83g,26g,(Almonds; 100; grams; 579 kcal) | (Walnuts; 15; grams; 98 kcal) | (Cashews; 15; grams; 83 kcal)
Fudgy Cocoa Brownies (Style #210),"Rich, dense, and intensely chocolatey brownies made using dark cocoa powder.",26 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Cocoa powder, Sugar (granulated)). Step 3: Cook or assemble for 26 minutes. Step 4: Finish with remaining toppings and serve immediately.",2236,103g,230g,53g,(Cocoa powder; 150; grams; 342 kcal) | (Sugar (granulated); 15; grams; 58 kcal) | (Butter; 150; grams; 1076 kcal) | (All-purpose flour; 150; grams; 546 kcal) | (Large egg; 150; grams; 214 kcal)
Peanut Butter Banana Oats (Style #211),"Thick, creamy oatmeal swirled with rich peanut butter and sweet sliced banana.",9 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Rolled oats, Whole milk). Step 3: Cook or assemble for 9 minutes. Step 4: Finish with remaining toppings and serve immediately.",464,21g,60g,16g,(Rolled oats; 50; grams; 190 kcal) | (Whole milk; 15; grams; 9 kcal) | (Peanut butter; 30; grams; 176 kcal) | (Banana; 100; grams; 89 kcal)
Black Bean and Corn Bowl (Style #212),"A hearty vegetarian fiber bowl featuring black beans, sweet corn, and a bright lime dressing.",9 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Black beans (canned), Corn (kernels)). Step 3: Cook or assemble for 9 minutes. Step 4: Finish with remaining toppings and serve immediately.",431,21g,51g,16g,(Black beans (canned); 150; grams; 136 kcal) | (Corn (kernels); 150; grams; 129 kcal) | (Bell pepper (green); 15; grams; 3 kcal) | (Olive oil; 15; grams; 133 kcal) | (Lime; 100; grams; 30 kcal)
Ribeye Steak and Potatoes (Style #213),"A premium, juicy ribeye steak seared to perfection and paired with a fluffy baked potato.",29 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Ribeye steak (raw), Russet potato). Step 3: Cook or assemble for 29 minutes. Step 4: Finish with remaining toppings and serve immediately.",539,29g,69g,21g,(Ribeye steak (raw); 100; grams; 291 kcal) | (Russet potato; 150; grams; 118 kcal) | (Butter; 15; grams; 108 kcal) | (Garlic; 15; grams; 22 kcal)
Guacamole and Cucumber (Style #214),"Crisp, hydrating cucumber rounds used to scoop up creamy seasoned avocado mash.",8 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Avocado, Cucumber). Step 3: Cook or assemble for 8 minutes. Step 4: Finish with remaining toppings and serve immediately.",266,14g,34g,6g,(Avocado; 150; grams; 240 kcal) | (Cucumber; 150; grams; 22 kcal) | (Lime; 15; grams; 4 kcal)
Dark Chocolate Berry Bark (Style #215),Decadent melted 70% dark chocolate topped with naturally sweet freeze-dried raspberries.,12 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Dark chocolate (70%), Raspberries). Step 3: Cook or assemble for 12 minutes. Step 4: Finish with remaining toppings and serve immediately.",377,18g,40g,13g,(Dark chocolate (70%); 50; grams; 299 kcal) | (Raspberries; 150; grams; 78 kcal)
Cheesy Bacon Omelet (Style #216),A classic hearty three-egg omelet loaded with crispy bacon and melted cheddar.,10 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Large egg, Bacon (raw)). Step 3: Cook or assemble for 10 minutes. Step 4: Finish with remaining toppings and serve immediately.",1365,96g,142g,47g,(Large egg; 15; grams; 21 kcal) | (Bacon (raw); 50; grams; 208 kcal) | (Cheddar cheese; 15; grams; 60 kcal) | (Butter; 150; grams; 1076 kcal)
Classic BLT (Style #217),Crispy smoked bacon slices layered with fresh tomatoes and crisp iceberg lettuce.,5 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Bacon (raw), Tomato). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",454,25g,62g,12g,(Bacon (raw); 15; grams; 63 kcal) | (Tomato; 15; grams; 3 kcal) | (Lettuce (iceberg); 15; grams; 2 kcal) | (Mayonnaise; 30; grams; 204 kcal) | (All-purpose flour; 50; grams; 182 kcal)
Hearty Ground Beef Skillet (Style #218),A comfort-food favorite featuring ground beef cooked down with onions and tomato paste.,21 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Ground beef (80/20, raw), Yellow onion). Step 3: Cook or assemble for 21 minutes. Step 4: Finish with remaining toppings and serve immediately.",693,47g,75g,17g,"(Ground beef (80/20, raw); 150; grams; 150 kcal) | (Yellow onion; 15; grams; 6 kcal) | (Tomato paste; 150; grams; 123 kcal) | (Garlic; 100; grams; 149 kcal) | (Olive oil; 30; grams; 265 kcal)"
